title,url,thumbnail,cluster2nd
90兆 데이터처리 시장 샛별 '망고부스트' 130억 펀딩,https://www.paxnetnews.com/articles/87534,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5630%2F2022%2F05%2F30%2F41589.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
바이어 찾아주는 AI…빅데이터 활용해 유망 거래처 3분 만에 뽑아줘,https://www.hankyung.com/economy/article/2022053008041,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F015%2F2022%2F05%2F30%2F4705468.jpg&type=ff264_180&expire=2&refresh=true,1
"국립암센터, 인공지능·빅데이터 국제심포지엄 개최",http://www.yakup.com/news/index.html?mode=view&cat=13&nid=270077,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5100%2F2022%2F05%2F30%2F146821.jpg&type=ff264_180&expire=2&refresh=true,1
"""2년간 서비스 무료"" 저축은행 시장 잡아라…마이데이터 제휴 경쟁 '후끈'",http://news.mk.co.kr/newsRead.php?no=477568&year=2022,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F009%2F2022%2F05%2F30%2F4971120.jpg&type=ff264_180&expire=2&refresh=true,28
"인천 중구, 공공데이터 제공 운영실태 평가 3년 연속 우수기관",http://news.heraldcorp.com/view.php?ud=20220530000665,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F016%2F2022%2F05%2F30%2F1997255.jpg&type=ff264_180&expire=2&refresh=true,3
"셀렉트스타, 8억원 규모 'AI 데이터셋 지원사업' 시작",http://www.hellodd.com/news/articleView.html?idxno=97051,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5409%2F2022%2F05%2F30%2F17016.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"유성민 허들러스 대표 ""데이터만큼 심리적 요소 연구해야""",https://zdnet.co.kr/view/?no=20220530110151,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F092%2F2022%2F05%2F30%2F2258250.jpg&type=ff264_180&expire=2&refresh=true,8
"방탄소년단 뷔, 구글 트렌드 2013년~2022년 누적 데이터...최다 검색 K팝아이돌 1위",https://tenasia.hankyung.com/topic/article/2022053004234,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F312%2F2022%2F05%2F30%2F549817.jpg&type=ff264_180&expire=2&refresh=true,8
[아침발걸음]오성과 한음에게 배우는 농업인 마이데이터,http://sjbnews.com/news/news.php?number=747067,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5153%2F2022%2F05%2F30%2F225445.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,28
"KT, 통신 상장기업 브랜드평판 5월 빅데이터 분석 결과 1위 기록",http://www.thebigdata.co.kr/view.php?ud=20220530084720441607d270612f_23,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5645%2F2022%2F05%2F30%2F118223.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,13
"더존비즈온, 아동 데이터 기반해 상시위기 대처…복지시스템 한계 없앤다",http://news.mk.co.kr/newsRead.php?no=474725&year=2022,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F009%2F2022%2F05%2F30%2F4970749.jpg&type=ff264_180&expire=2&refresh=true,8
"바이트브릿지, 머신러닝 학습 데이터 설계 위한 전문 컨설팅 서비스 개시",http://www.datanet.co.kr/news/articleView.html?idxno=173066,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5096%2F2022%2F05%2F30%2F123615.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
바디워시 브랜드평판 2022년 5월 빅데이터 분석결과,http://www.ujeil.com/news/articleView.html?idxno=304902,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5583%2F2022%2F05%2F30%2F103184.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,13
"지구를 지키기 위한 한걸음, 데이터 플로깅을 아시나요?",http://www.headlinejeju.co.kr/news/articleView.html?idxno=487712,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5267%2F2022%2F05%2F30%2F224685.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
'빅데이터로 보는 지방선거' 3차 분석,https://www.cctoday.co.kr/news/articleView.html?idxno=2162910, ,1
"데이터 분석 플랫폼 '핵클', 비대면 바우처 공급기업 선정",http://www.gvalley.co.kr/news/articleView.html?idxno=604004,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5206%2F2022%2F05%2F30%2F78928.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,2
"가이온, 데이터바우처 공급 4년 연속 협약 체결",http://www.enewstoday.co.kr/news/articleView.html?idxno=1573242, ,1
'中企 통계데이터 활용한 정책' 공모전,http://www.kbiznews.co.kr/news/articleView.html?idxno=91300, ,4
[김성우 칼럼] 에너지전환과 기술빅데이터 활용,https://www.ekn.kr/web/view.php?key=20220528010004683,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5133%2F2022%2F05%2F30%2F521211.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,4
