cluster_num,count,keyword
15,22,인공지능 업체들
9,21,가상화 플랫폼
8,19,한국데이터산업진흥원 데이터
21,16,서비스 ibk
5,14,웰리시스 디지털헬스케어
12,13,김영섭 디지털
0,12,구축 kt
4,12,활용 독감백신
26,11,스마트 주차장
25,10,스마트등대공장 사업
2,10,구미시 공공데이터
16,10,스마트시티 조성
20,9,삼성sds 판교
18,8,xr 구글
19,8,퓨리오사ai 인공지능
22,7,지방정부 디지털플랫폼정부
28,7,데이터 제공
17,7,과기정통부 올해
6,7,인공지능 기술
3,7,ibk ai
7,6,발표 동진쎄미켐
24,6,개최 서울시여성가족재단
14,6,경북농기원 디지털
