title,url,thumbnail,cluster2nd
'과학방역' 내세운 중대본…전문가위원회·빅데이터 플랫폼 구성,https://www.yna.co.kr/view/AKR20220518038300530?input=1195m,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F05%2F18%2F13185881.jpg&type=ff264_180&expire=2&refresh=true,12
"넥슨, 라프텔과 '가명정보 결합'…데이터 사이언스 강화",http://www.newsis.com/view/?id=NISX20220518_0001876390&cID=10406&pID=13100,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F05%2F18%2F11193522.jpg&type=ff264_180&expire=2&refresh=true,17
"인공위성 '세종 1호' 쏘는 한글과컴퓨터, 이미지 데이터 노린다",http://www.bloter.net/newsView/blt202205180027,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F293%2F2022%2F05%2F18%2F39141.jpg&type=ff264_180&expire=2&refresh=true,9
"KT SAT ""스페이스데이터 서비스 진출…글로벌 브랜드 키운다""",https://www.hankyung.com/it/article/202205184568i,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F015%2F2022%2F05%2F18%2F4700455.jpg&type=ff264_180&expire=2&refresh=true,1
"농협은행, 마이데이터 친구추천 이벤트 진행",http://www.edaily.co.kr/news/newspath.asp?newsid=01538326632330232,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F018%2F2022%2F05%2F18%2F5218625.jpg&type=ff264_180&expire=2&refresh=true,14
"하동군, 공공데이터 기업매칭 공모 선정",http://www.enewstoday.co.kr/news/articleView.html?idxno=1570777,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5038%2F2022%2F05%2F18%2F724995.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,15
"행안부, 공기관 포함 467개 기관 데이터기반행정 점검",http://www.fnnews.com/news/202205181034188706,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F014%2F2022%2F05%2F18%2F4838161.jpg&type=ff264_180&expire=2&refresh=true,1
교통사망사고 빅데이터로 도민생명 살린다,https://www.ccdailynews.com/news/articleView.html?idxno=2130719,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5116%2F2022%2F05%2F18%2F800169.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,12
"“랜섬웨어 피해 기업 3곳 중 1곳, 대가 지불해도 데이터 복구 실패”",https://biz.chosun.com/it-science/ict/2022/05/18/T2Y4T7DTBVCVTKRYWIGGABCW4M/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F366%2F2022%2F05%2F18%2F814503.jpg&type=ff264_180&expire=2&refresh=true,9
"안산시, ‘공공데이터 기업매칭 지원사업’ 추진",http://news.tf.co.kr/read/national/1939221.htm,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F629%2F2022%2F05%2F18%2F150059.jpg&type=ff264_180&expire=2&refresh=true,15
"백경란 질병청장 ""감염병 컨트롤타워 역할 재정립할 것""...전문가위원회·빅데이터 플랫폼 구성",https://www.dongascience.com/news/view/54298,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F584%2F2022%2F05%2F18%2F19010.jpg&type=ff264_180&expire=2&refresh=true,12
"백경란 신임 질병청장 ""데이터 활용..과학 방역할것""",https://www.cjb.co.kr/home/sub.php?menukey=61&mod=view&P_NO=220518506&PRO_CODE=99,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F655%2F2022%2F05%2F18%2F2087.jpg&type=ff264_180&expire=2&refresh=true,9
인천관광공사 공공데이터 기업매칭사업 국비 10억,https://news.kmib.co.kr/article/view.asp?arcid=0017088879&code=61121111&cp=nv,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2022%2F05%2F18%2F1526839.jpg&type=ff264_180&expire=2&refresh=true,1
"보령시, '공공데이터 기업매칭 지원사업' 2년 연속 선정",https://www.ajunews.com/view/20220518090901199,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5090%2F2022%2F05%2F18%2F2137713.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,15
"정부, '코로나 빅데이터 플랫폼' 구축…교육·돌봄시설 '공기정화' 지원(종합)",https://www.news1.kr/articles/?4683828,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2022%2F05%2F18%2F6099086.jpg&type=ff264_180&expire=2&refresh=true,12
"한국축산데이터, 축산분야 亞최초 영국 GEP 선정…""유럽 진출 본격화""",http://news.mt.co.kr/mtview.php?no=2022051809190263798,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F008%2F2022%2F05%2F18%2F4747415.jpg&type=ff264_180&expire=2&refresh=true,1
